移动,#genre#
吉林卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls
吉林卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226078/1/index.m3u8?fmt=ts2hls
辽宁卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls
辽宁卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226050/1/index.m3u8?fmt=ts2hls
山东卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
山东卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226066/1/index.m3u8?fmt=ts2hls
深圳卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
深圳卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226069/1/index.m3u8?fmt=ts2hls
四川卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
四川卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226035/1/index.m3u8?fmt=ts2hls
天津卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
天津卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226067/1/index.m3u8?fmt=ts2hls
浙江卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225750/1/index.m3u8?fmt=ts2hls
浙江卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225780/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225771/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls
河南卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
河南卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226032/1/index.m3u8?fmt=ts2hls
重庆卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls
重庆卫视HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226038/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls
云南卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225687/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225718/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
农林卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
青海卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225760/1/index.m3u8?fmt=ts2hls
山西卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
